Índice de preços,2024,2025,1º tri 2026,_nro_reuniao,_dataReferencia,_table_idx,2º tri ​2026,2º tri 2026,3º tri 2026,2026,​2026,1º tri 2027,2º tri 2027,_reconstructed,_scenario,ipca_2017,ipca_2018,ipca_2019,selic_2019,selic_2018,fx_2018,fx_2019,ipca_2020,selic_2020,fx_2020,ipca_2021,selic_2021,_fx_assumption,ipca_2022,selic_2022,ipca_2023,selic_2023,ipca_2024,ipca_2025
IPCA,,,,210,2017-10-25,0,,,,,,,,True,Focus (trajetórias pesquisa Focus),3.3,4.3,4.2,8.0,,,,,,,,,,,,,,,
IPCA,,,,211,2017-12-06,0,,,,,,,,True,Focus (trajetórias pesquisa Focus),2.9,4.2,4.2,7.0,,,,,,,,,,,,,,,
IPCA,,,,212,2018-02-07,0,,,,,,,,True,Focus (trajetórias pesquisa Focus),,4.2,,,6.75,,,,,,,,,,,,,,
IPCA,,,,213,2018-03-21,0,,,,,,,,True,Focus (trajetórias pesquisa Focus),,3.8,4.1,,6.5,,,,,,,,,,,,,,
IPCA,,,,214,2018-05-16,0,,,,,,,,True,Focus (trajetórias pesquisa Focus),,3.6,3.9,,6.25,,,,,,,,,,,,,,
IPCA,,,,214,2018-05-16,0,,,,,,,,True,Selic constante,,4.0,,,6.5,3.6,,,,,,,,,,,,,
IPCA,,,,215,2018-06-20,0,,,,,,,,True,Focus (trajetórias pesquisa Focus),,4.2,3.7,,6.5,,,,,,,,,,,,,,
IPCA,,,,215,2018-06-20,0,,,,,,,,True,Selic constante,,4.2,4.1,6.5,6.5,3.7,3.7,,,,,,,,,,,,
IPCA,,,,216,2018-08-01,0,,,,,,,,True,Focus (trajetórias pesquisa Focus),,4.2,3.8,,6.5,,,,,,,,,,,,,,
IPCA,,,,216,2018-08-01,0,,,,,,,,True,Selic constante,,4.2,4.1,6.5,6.5,3.75,3.75,,,,,,,,,,,,
IPCA,,,,217,2018-09-19,0,,,,,,,,True,Focus (trajetórias pesquisa Focus),,4.1,4.0,,6.5,,,,,,,,,,,,,,
IPCA,,,,217,2018-09-19,0,,,,,,,,True,Selic constante,,4.4,4.5,6.5,6.5,4.15,4.15,,,,,,,,,,,,
IPCA,,,,218,2018-10-31,0,,,,,,,,True,Focus (trajetórias pesquisa Focus),,4.4,4.2,,6.5,3.71,3.71,3.7,6.5,3.8,,,,,,,,,
IPCA,,,,218,2018-10-31,0,,,,,,,,True,Selic constante,,4.4,4.2,6.5,6.5,3.7,3.7,4.1,6.5,3.7,,,,,,,,,
IPCA,,,,219,2018-12-12,0,,,,,,,,True,Focus (trajetórias pesquisa Focus),,3.7,3.9,,6.5,3.78,3.78,3.6,,,,,,,,,,,
IPCA,,,,219,2018-12-12,0,,,,,,,,True,Selic constante,,3.7,4.0,6.5,6.5,3.85,3.85,4.0,6.5,3.85,,,,,,,,,
IPCA,,,,220,2019-02-06,0,,,,,,,,True,Focus (trajetórias pesquisa Focus),,,3.9,6.5,,,3.7,3.8,,3.7,,,,,,,,,
IPCA,,,,220,2019-02-06,0,,,,,,,,True,Selic constante,,,3.9,6.5,,,3.7,4.0,6.5,3.7,,,,,,,,,
IPCA,,,,221,2019-03-20,0,,,,,,,,True,Focus (trajetórias pesquisa Focus),,,3.9,6.5,,,3.7,3.8,,3.7,,,,,,,,,
IPCA,,,,221,2019-03-20,0,,,,,,,,True,Selic constante,,,4.1,6.5,,,3.85,4.0,6.5,3.85,,,,,,,,,
IPCA,,,,222,2019-05-08,0,,,,,,,,True,Focus (trajetórias pesquisa Focus),,,4.1,6.5,,,3.75,3.8,,3.75,,,,,,,,,
IPCA,,,,222,2019-05-08,0,,,,,,,,True,Selic constante,,,4.3,6.5,,,3.95,4.0,6.5,3.95,,,,,,,,,
IPCA,,,,223,2019-06-19,0,,,,,,,,True,Focus (trajetórias pesquisa Focus),,,3.6,5.75,,,,3.9,,,,,,,,,,,
IPCA,,,,223,2019-06-19,0,,,,,,,,True,Selic constante,,,3.6,6.5,,,3.85,3.7,6.5,3.85,,,,,,,,,
IPCA,,,,224,2019-07-31,0,,,,,,,,True,Focus (trajetórias pesquisa Focus),,,3.6,5.5,,,3.75,3.9,5.5,3.75,,,,,,,,,
IPCA,,,,224,2019-07-31,0,,,,,,,,True,Selic constante,,,3.6,6.5,,,3.75,,,,,,,,,,,,
IPCA,,,,225,2019-09-18,0,,,,,,,,True,Focus (trajetórias pesquisa Focus),,,3.3,5.0,,,3.9,3.6,5.0,3.9,,,,,,,,,
IPCA,,,,225,2019-09-18,0,,,,,,,,True,Selic constante,,,3.4,6.0,,,4.05,3.6,6.0,4.05,,,,,,,,,
IPCA,,,,225,2019-09-18,0,,,,,,,,True,"Híbrido (FX constante, Selic Focus)",,,3.4,5.0,,,4.05,3.8,5.0,4.05,,,,,,,,,
IPCA,,,,226,2019-10-30,0,,,,,,,,True,Focus (trajetórias pesquisa Focus),,,3.4,4.5,,,,3.6,4.5,,3.5,,,,,,,,
IPCA,,,,227,2019-12-11,0,,,,,,,,True,Focus (trajetórias pesquisa Focus),,,4.0,4.5,,,,3.5,,,3.4,,,,,,,,
IPCA,,,,228,2020-02-05,0,,,,,,,,True,referência,,,,,,,,3.5,3.5,,3.7,3.7,4.25,,,,,,
IPCA,,,,229,2020-03-18,0,,,,,,,,True,referência,,,,,,,,3.0,3.0,,3.6,3.6,4.75,,,,,,
IPCA,,,,230,2020-05-06,0,,,,,,,,True,referência,,,,,,,,2.4,2.4,,3.4,3.4,5.55,,,,,,
IPCA,,,,231,2020-06-17,0,,,,,,,,True,referência,,,,,,,,2.0,2.0,,3.2,3.2,4.95,,,,,,
IPCA,,,,232,2020-08-05,0,,,,,,,,True,referência,,,,,,,,1.9,1.9,,3.0,3.0,5.2,3.4,3.4,,,,
IPCA,,,,233,2020-09-16,0,,,,,,,,True,referência,,,,,,,,2.1,2.1,,2.9,2.9,5.3,3.3,3.3,,,,
IPCA,,,,234,2020-10-28,0,,,,,,,,True,referência,,,,,,,,3.1,3.1,,3.1,3.1,5.6,3.3,3.3,,,,
IPCA,,,,235,2020-12-09,0,,,,,,,,True,referência,,,,,,,,4.3,4.3,,3.4,3.4,5.25,3.4,3.4,,,,
IPCA,,,,236,2021-01-20,0,,,,,,,,True,referência,,,,,,,,,,,3.6,3.6,5.35,3.4,3.4,,,,
IPCA,,,,237,2021-03-17,0,,,,,,,,True,referência,,,,,,,,,,,5.0,5.0,5.7,3.5,3.5,,,,
IPCA administrados,,,,237,2021-03-17,0,,,,,,,,True,referência,,,,,,,,,,,9.5,,,4.4,,,,,
IPCA,,,,238,2021-05-05,0,,,,,,,,True,referência,,,,,,,,,,,5.1,5.1,5.4,3.4,3.4,,,,
IPCA administrados,,,,238,2021-05-05,0,,,,,,,,True,referência,,,,,,,,,,,8.4,,,5.0,,,,,
IPCA,,,,239,2021-06-16,0,,,,,,,,True,referência,,,,,,,,,,,5.8,5.8,,3.5,3.5,,,,
IPCA administrados,,,,239,2021-06-16,0,,,,,,,,True,referência,,,,,,,,,,,9.7,,,5.1,,,,,
IPCA,,,,240,2021-08-04,0,,,,,,,,True,referência,,,,,,,,,,,6.5,6.5,,3.5,3.5,3.2,3.2,,
IPCA administrados,,,,240,2021-08-04,0,,,,,,,,True,referência,,,,,,,,,,,10.0,,,4.6,,,,,
IPCA,,,,241,2021-09-22,0,,,,,,,,True,referência,,,,,,,,,,,8.5,8.5,,3.7,3.7,3.2,3.2,,
IPCA administrados,,,,241,2021-09-22,0,,,,,,,,True,referência,,,,,,,,,,,13.7,,,4.2,,4.8,,,
IPCA,,,,242,2021-10-27,0,,,,,,,,True,referência,,,,,,,,,,,9.5,9.5,,4.1,4.1,3.1,3.1,,
IPCA administrados,,,,242,2021-10-27,0,,,,,,,,True,referência,,,,,,,,,,,17.1,,,5.2,,5.1,,,
IPCA,,,,243,2021-12-08,0,,,,,,,,True,referência,,,,,,,,,,,10.2,10.2,,4.7,4.7,3.2,3.2,,
IPCA administrados,,,,243,2021-12-08,0,,,,,,,,True,referência,,,,,,,,,,,16.7,,,3.8,,5.2,,,
IPCA administrados,,,,244,2022-02-02,0,,,,,,,,True,referência,,,,,,,,,,,,,,6.6,,5.4,,,
IPCA administrados,,,,245,2022-03-16,0,,,,,,,,True,referência,,,,,,,,,,,,,,9.5,,5.9,,,
IPCA administrados,,,,246,2022-05-04,0,,,,,,,,True,referência,,,,,,,,,,,,,,6.4,,5.7,,,
IPCA administrados,,,,247,2022-06-15,0,,,,,,,,True,referência,,,,,,,,,,,,,,7.0,,6.3,,3.3,
IPCA administrados,,,,248,2022-08-03,0,,,,,,,,True,referência,,,,,,,,,,,,,,1.3,,8.4,,3.6,
IPCA administrados,,,,249,2022-09-21,0,,,,,,,,True,referência,,,,,,,,,,,,,,4.0,,9.3,,3.7,
IPCA administrados,,,,250,2022-10-26,0,,,,,,,,True,referência,,,,,,,,,,,,,,3.9,,9.4,,3.8,
IPCA administrados,,,,251,2022-12-07,0,,,,,,,,True,referência,,,,,,,,,,,,,,3.6,,9.1,,4.2,
IPCA administrados,,,,252,2023-02-01,0,,,,,,,,True,referência,,,,,,,,,,,,,,,,10.6,,5.0,
IPCA administrados,,,,253,2023-03-22,0,,,,,,,,True,referência,,,,,,,,,,,,,,,,10.2,,5.3,
IPCA administrados,,,,254,2023-05-03,0,,,,,,,,True,referência,,,,,,,,,,,,,,,,10.8,,5.2,
IPCA administrados,,,,255,2023-06-21,0,,,,,,,,True,referência,,,,,,,,,,,,,,,,9.0,,4.6,
IPCA administrados,,,,256,2023-08-02,0,,,,,,,,True,referência,,,,,,,,,,,,,,,,9.4,,4.6,3.5
IPCA administrados,,,,257,2023-09-20,0,,,,,,,,True,referência,,,,,,,,,,,,,,,,10.5,,4.5,3.6
IPCA administrados,,,,258,2023-11-01,0,,,,,,,,True,referência,,,,,,,,,,,,,,,,9.3,,5.0,3.6
IPCA administrados,,,,259,2023-12-13,0,,,,,,,,True,referência,,,,,,,,,,,,,,,,9.1,,4.5,3.6
IPCA administrados,,,,260,2024-01-31,0,,,,,,,,True,referência,,,,,,,,,,,,,,,,,,4.2,3.8
IPCA administrados,,,,261,2024-03-20,0,,,,,,,,True,referência,,,,,,,,,,,,,,,,,,4.4,3.9
IPCA administrados,,,,262,2024-05-08,0,,,,,,,,True,referência,,,,,,,,,,,,,,,,,,4.8,4.0
IPCA administrados,,,,263,2024-06-19,0,,,,,,,,True,referência,,,,,,,,,,,,,,,,,,4.4,4.0
IPCA administrados,,,,264,2024-07-31,0,,,,,,,,True,referência,,,,,,,,,,,,,,,,,,5.0,4.0
IPCA,4.3,3.7,3.5,265,2024-09-18,0,,,,,,,,False,referência,,,,,,,,,,,,,,,,,,,
IPCA livres,4.4,3.6,3.4,265,2024-09-18,0,,,,,,,,False,referência,,,,,,,,,,,,,,,,,,,
IPCA administrados,4.2,4.0,3.9,265,2024-09-18,0,,,,,,,,False,referência,,,,,,,,,,,,,,,,,,,
IPCA,4.6,3.9,,266,2024-11-06,0,3.6,,,,,,,False,referência,,,,,,,,,,,,,,,,,,,
IPCA livres,4.5,3.8,,266,2024-11-06,0,3.4,,,,,,,False,referência,,,,,,,,,,,,,,,,,,,
IPCA administrados,4.9,4.2,,266,2024-11-06,0,4.3,,,,,,,False,referência,,,,,,,,,,,,,,,,,,,
IPCA,4.9,4.5,,267,2024-12-11,0,,4.0,,,,,,False,referência,,,,,,,,,,,,,,,,,,,
IPCA livres,5.0,4.5,,267,2024-12-11,0,,3.8,,,,,,False,referência,,,,,,,,,,,,,,,,,,,
IPCA administrados,4.6,4.5,,267,2024-12-11,0,,4.6,,,,,,False,referência,,,,,,,,,,,,,,,,,,,
IPCA,,5.2,,268,2025-01-29,0,,,4.0,,,,,False,referência,,,,,,,,,,,,,,,,,,,
IPCA livres,,5.2,,268,2025-01-29,0,,,3.8,,,,,False,referência,,,,,,,,,,,,,,,,,,,
IPCA administrados,,5.2,,268,2025-01-29,0,,,4.6,,,,,False,referência,,,,,,,,,,,,,,,,,,,
IPCA,,5.1,,269,2025-03-19,0,,,3.9,,,,,False,referência,,,,,,,,,,,,,,,,,,,
IPCA livres,,5.4,,269,2025-03-19,0,,,3.8,,,,,False,referência,,,,,,,,,,,,,,,,,,,
IPCA administrados,,4.3,,269,2025-03-19,0,,,4.2,,,,,False,referência,,,,,,,,,,,,,,,,,,,
IPCA,,4.8,,270,2025-05-07,0,,,,3.6,,,,False,referência,,,,,,,,,,,,,,,,,,,
IPCA livres,,5.3,,270,2025-05-07,0,,,,3.4,,,,False,referência,,,,,,,,,,,,,,,,,,,
IPCA administrados,,3.5,,270,2025-05-07,0,,,,4.0,,,,False,referência,,,,,,,,,,,,,,,,,,,
IPCA,,4.9,,271,2025-06-18,0,,,,3.6,,,,False,referência,,,,,,,,,,,,,,,,,,,
IPCA livres,,5.2,,271,2025-06-18,0,,,,3.4,,,,False,referência,,,,,,,,,,,,,,,,,,,
IPCA administrados,,3.8,,271,2025-06-18,0,,,,4.1,,,,False,referência,,,,,,,,,,,,,,,,,,,
IPCA,,4.9,,272,2025-07-30,0,,,,,3.6,3.4,,False,referência,,,,,,,,,,,,,,,,,,,
IPCA livres,,5.1,,272,2025-07-30,0,,,,,3.5,3.3,,False,referência,,,,,,,,,,,,,,,,,,,
IPCA administrados,,4.4,,272,2025-07-30,0,,,,,4.0,3.9,,False,referência,,,,,,,,,,,,,,,,,,,
IPCA,,4.8,,273,2025-09-17,0,,,,3.6,,3.4,,False,referência,,,,,,,,,,,,,,,,,,,
IPCA livres,,5.0,,273,2025-09-17,0,,,,3.5,,3.3,,False,referência,,,,,,,,,,,,,,,,,,,
IPCA administrados,,4.3,,273,2025-09-17,0,,,,3.8,,3.8,,False,referência,,,,,,,,,,,,,,,,,,,
IPCA,,4.6,,274,2025-11-05,0,,,,3.6,,,3.3,False,referência,,,,,,,,,,,,,,,,,,,
IPCA livres,,4.5,,274,2025-11-05,0,,,,3.6,,,3.2,False,referência,,,,,,,,,,,,,,,,,,,
IPCA administrados,,5.0,,274,2025-11-05,0,,,,3.4,,,3.5,False,referência,,,,,,,,,,,,,,,,,,,
IPCA,,4.4,,275,2025-12-10,0,,,,3.5,,,3.2,False,referência,,,,,,,,,,,,,,,,,,,
IPCA livres,,4.0,,275,2025-12-10,0,,,,3.6,,,3.2,False,referência,,,,,,,,,,,,,,,,,,,
IPCA administrados,,5.3,,275,2025-12-10,0,,,,3.2,,,3.4,False,referência,,,,,,,,,,,,,,,,,,,
